ID,팔로워,팔로우,업로드 날짜,업로드 시간,장소 태그 여부,계정 태그 여부,해시태그,사진 이름,좋아요 수
s._yeon04,224,134,2021-06-06,19:29:57,0,0,"['04년생', '18살', '좋아요테러', '좋아요반사', '팔로우', '맞팔환영', '맞팔', '선팔하면맞팔', '선팔맞팔', '좋아요테러', '좋반', '좋아요', '좋아요반사', '팔로우', '맞팔환영', '맞팔해요', '선팔', 'follow4like', 'fff', 'followforfollowback', 'likeforlikes', 'like4follow', 'l4f', 'f4f', 'l4l', '18살', '04년생']",s._yeon04_5.png,44
s._yeon04,224,134,2021-06-06,18:04:11,0,0,"['18', '04년생', '좋', '좋아요', '좋테', '좋반', '좋아요', '좋튀잡', '첫줄', '첫줄반사', '선팔', '맞팔', '맞팔해요', '선팔맞팔', '협찬', '협찬환영', '디엠환영', '디엠', '04', '17', 'ootd', 'F4F', 'tbt', 'life4life', 'followme', '고딩']",s._yeon04_6.png,50
sen_20.0,466,196,2021-06-08,16:45:28,1,0,"['해시태그', '첫줄', '첫줄반사', '좋아요반사', '좋반', '좋아요테러', '맞팔', '선팔하면맞팔', '20', '02년생', '오오티디', 'ootd', 'follow', '일상', '데일리', 'selfie', 'selstagram', '셀스타그램', '소통환영', 'fff', 'likeforlikeback', '운동하는여자', '운동스타그램', '필라테스', '럽스타그램', '종강종강']",sen_20.0_3.png,103
sen_20.0,466,196,2021-05-21,23:04:21,0,0,"['해시태그', '첫줄', '첫줄반사', '좋아요반사', '좋반', '좋아요테러', '맞팔', '선팔하면맞팔', '20', '02년생', '오오티디', 'ootd', 'follow', '일상', '데일리', 'selfie', 'selstagram', '셀스타그램', '소통환영', 'fff', 'likeforlikeback', '운동하는여자', '운동스타그램', '필라테스', '럽스타그램', '술스타그램']",sen_20.0_4.png,122
maralmaa.maral,514,68,2021-04-28,21:57:16,0,0,"['tflers', '좋아요반사', '좋반', '좋테', '첫줄반사', '첫줄', '선팔', '맞팔', '선팔하면맞팔', '맞팔해요', '좋반환영', '맞팔환영', '일상', '전주', 'instagood', 'likeforfollow', 'likeforlikes', 'like4likes', 'follow4followback', 'followforfollowback', 'like', 'likeforlikeback', 'fff', 'flf', 'l4l', 'f4f']",maralmaa.maral_5.png,30
maralmaa.maral,514,68,2021-04-28,21:56:36,0,0,"['tflers', '좋아요반사', '좋반', '좋테', '첫줄반사', '첫줄', '선팔', '맞팔', '선팔하면맞팔', '맞팔해요', '좋반환영', '맞팔환영', '일상', '전주', 'instagood', 'likeforfollow', 'likeforlikes', 'like4likes', 'follow4followback', 'followforfollowback', 'like', 'likeforlikeback', 'fff', 'flf', 'l4l', 'f4f']",maralmaa.maral_6.png,26
maralmaa.maral,514,68,2021-04-28,21:56:02,0,0,"['tflers', '좋아요반사', '좋반', '좋테', '첫줄반사', '첫줄', '선팔', '맞팔', '선팔하면맞팔', '맞팔해요', '좋반환영', '맞팔환영', '일상', 'instagood', 'likeforfollow', 'likeforlikes', 'like4likes', 'follow4followback', 'followforfollowback', 'like', 'likeforlikeback', 'fff', 'flf', 'l4l', 'f4f']",maralmaa.maral_7.png,24
uni._.cong,99,41,2021-06-10,11:52:47,0,0,"['첫줄', '댕댕이스타그램', '말티즈그램', '좋은건알아가지고', '포즈잡는중', '이뿌이덜']",uni._.cong_5.png,9
uni._.cong,99,41,2021-06-10,09:29:37,0,0,"['첫줄', '댕댕이스타그램', '말티즈그램', '새침데기', '먹을꺼앞에선', '애교쟁이', '적극적인여자']",uni._.cong_6.png,11
uni._.cong,99,41,2021-06-07,12:22:20,0,0,"['첫줄', '댕댕이스타그램', '말티즈', '주말나들이', '이제여름', '덥다', '애기들도', '헥헥', '그래도', '오길잘했어']",uni._.cong_7.png,8
uni._.cong,99,41,2021-06-05,20:44:55,0,0,"['첫줄', '댕댕스타그램', '말티즈그램', '여행스타그램', '바다', '그림같네', '행복하장']",uni._.cong_8.png,12
uni._.cong,99,41,2021-06-05,20:36:02,0,0,"['첫줄', '댕댕스타그램', '말티즈그램', '비오는날', '비옷입고', '산책가는길', '오빠바라기']",uni._.cong_10.png,8
uni._.cong,99,41,2021-06-05,20:31:45,0,0,"['첫줄', '댕댕스타그램', '말티즈그램', '여름맞이', '미용', '반미용사다됨', '털아늦게자라주라', '힘들다']",uni._.cong_11.png,8
uni._.cong,99,41,2021-05-24,12:10:47,0,0,"['첫줄', '댕댕이스타그램', '말티즈그램', '비옷', '오빠선물', '온능비와라', '감사합니당']",uni._.cong_13.png,11
uni._.cong,99,41,2021-05-12,19:04:11,0,0,"['첫줄', '댕댕이스타그램', '말티즈그램', '산책', '초록초록해', '건강미', '뿜뿜', '표정해맑음']",uni._.cong_15.png,13
uni._.cong,99,41,2021-05-12,15:00:00,0,0,"['첫줄', '댕댕이스타그램', '말티즈그램', '카페마실', '견생샷', '막찍어도이쁨', '막이쁨', '울콩이', '기분좋아']",uni._.cong_16.png,7
uni._.cong,99,41,2021-05-12,14:56:46,0,0,"['첫줄', '댕댕이스타그램', '말티즈그램', '카페마실', '견생샷', '막찍어도이쁨', '막이쁨', '울유니', '기분좋아']",uni._.cong_17.png,7
uni._.cong,99,41,2021-05-09,19:05:46,0,0,['첫줄'],uni._.cong_18.png,8
iin.seo,232,120,2021-06-11,14:09:05,0,0,"['첫줄', '인스타', '사진', 'picture', '데일리', 'following', 'ootd', 'selca', 'selfie', 'instagood', 'instadaily', '소통', '오오티디', '선팔', '좋아요반사', '맞팔', '좋반', '20', '01', '대전', '대흥동', 'photography', '둔산동', 'photooftheday', 'f4f', 'l4l']",iin.seo_6.png,57
iin.seo,232,120,2021-06-03,11:16:48,0,0,"['첫줄', '인스타', '사진', 'picture', '데일리', 'following', 'ootd', 'selca', 'selfie', 'instagood', 'instadaily', '소통', '오오티디', '선팔', '좋아요반사', '맞팔', '좋반', '20', '01', '대전', '대흥동', 'photography', '둔산동', 'photooftheday', 'f4f', 'l4l']",iin.seo_7.png,43
iin.seo,232,120,2021-06-02,13:12:41,0,1,"['첫줄', '인스타', '사진', 'picture', '데일리', 'following', 'ootd', 'selca', 'selfie', 'instagood', 'instadaily', '소통', '오오티디', '선팔', '좋아요반사', '맞팔', '좋반', '20', '01', '대전', '대흥동', 'photography', '둔산동', 'photooftheday', 'f4f', 'l4l']",iin.seo_8.png,41
iin.seo,232,120,2021-06-02,13:05:21,0,1,"['첫줄', '인스타', '사진', 'picture', '데일리', 'following', 'ootd', 'selca', 'selfie', 'instagood', 'instadaily', '소통', '오오티디', '선팔', '좋아요반사', '맞팔', '좋반', '20', '01', '대전', '대흥동', 'photography', '둔산동', 'photooftheday', 'f4f', 'l4l']",iin.seo_9.png,37
iin.seo,232,120,2021-06-02,12:10:38,0,0,"['첫줄', '인스타', '사진', 'picture', '데일리', 'following', 'ootd', 'selca', 'selfie', 'instagood', 'instadaily', '소통', '오오티디', '선팔', '좋아요반사', '맞팔', '좋반', '20', '01', '대전', '대흥동', 'photography', '둔산동', 'photooftheday', 'f4f', 'l4l']",iin.seo_10.png,43
