ID,팔로워,팔로우,업로드 날짜,업로드 시간,장소 태그 여부,계정 태그 여부,해시태그,사진 이름,좋아요 수
nyung2dang,3115,3076,2021-06-09,10:12:14,1,0,"['주정차단속', 'followforfollowback', 'follow', 'likeforfollow', 'fff', 'daily', 'selfie', 'like4likes', 'following', 'likeforfollow', 'f4f', 'followback', '부산미용실', '반여동미용실', '로이드밤', '맞팔', '선팔', '좋아요', '데일리', 'ootd', '소통', '인친', '좋아요반사', '뷰티', '커트', '부산', '팔로우', '동래', '반여동', '로이드밤반여', '셀스타그램']",nyung2dang_10.png,81
nyung2dang,3115,3076,2021-06-08,16:16:31,0,0,"['여권사진', 'follow', 'likeforfollow', 'fff', 'daily', 'selfie', 'like4likes', 'following', 'likeforfollow', 'f4f', 'followback', '부산미용실', '반여동미용실', '로이드밤', '맞팔', '선팔', '좋아요', '데일리', 'ootd', '소통', '인친', '좋아요반사', '뷰티', '커트', '부산', '팔로우', '동래', '반여동', '로이드밤반여', '셀스타그램', '비숑']",nyung2dang_11.png,76
nyung2dang,3115,3076,2021-06-05,17:46:02,1,0,"['followforfollowback', 'follow', 'likeforfollow', 'fff', 'daily', 'selfie', 'like4likes', 'following', 'likeforfollow', 'f4f', 'followback', '부산미용실', '반여동미용실', '로이드밤', '맞팔', '선팔', '좋아요', '데일리', 'ootd', '소통', '인친', '좋아요반사', '뷰티', '커트', '부산', '팔로우', '동래', '반여동', '로이드밤반여', '셀스타그램', '비숑']",nyung2dang_13.png,126
nyung2dang,3115,3076,2021-06-04,22:51:43,1,0,"['followforfollowback', 'follow', 'likeforfollow', 'fff', 'daily', 'selfie', 'like4likes', 'following', 'likeforfollow', 'f4f', 'followback', '부산미용실', '반여동미용실', '로이드밤', '맞팔', '선팔', '좋아요', '데일리', 'ootd', '소통', '인친', '좋아요반사', '뷰티', '커트', '부산', '팔로우', '동래', '반여동', '로이드밤반여', '셀스타그램', '비숑']",nyung2dang_14.png,95
nyung2dang,3115,3076,2021-06-01,14:49:26,1,0,"['마음의양식', 'followforfollowback', 'follow', 'likeforfollow', 'fff', 'daily', 'selfie', 'like4likes', 'following', 'likeforfollow', 'f4f', 'followback', '부산미용실', '반여동미용실', '로이드밤', '맞팔', '선팔', '좋아요', '데일리', 'ootd', '소통', '인친', '좋아요반사', '뷰티', '커트', '부산', '팔로우', '동래', '반여동', '로이드밤반여', '셀스타그램']",nyung2dang_16.png,61
nyung2dang,3115,3076,2021-05-29,23:08:39,1,0,"['followforfollowback', 'follow', 'likeforfollow', 'fff', 'daily', 'selfie', 'like4likes', 'following', 'likeforfollow', 'f4f', 'followback', '부산미용실', '반여동미용실', '로이드밤', '맞팔', '선팔', '좋아요', '데일리', 'ootd', '소통', '인친', '좋아요반사', '뷰티', '커트', '부산', '팔로우', '동래', '반여동', '로이드밤반여', '셀스타그램', '비숑']",nyung2dang_17.png,105
nyung2dang,3115,3076,2021-05-27,17:15:10,1,0,"['followforfollowback', 'follow', 'likeforfollow', 'fff', 'daily', 'selfie', 'like4likes', 'following', 'likeforfollow', 'f4f', 'followback', '첫', '부산', '서면', '해운대', '서울', '대전', '대구', '카페', '일상', '소통', '셀카', 'selfie', '헤어', 'ootd', '패션', '아이폰', '반여동미용실', '좋아요반사', '좋아요']",nyung2dang_18.png,81
nyung2dang,3115,3076,2021-05-23,21:05:19,1,0,"['followforfollowback', 'follow', 'likeforfollow', 'fff', 'daily', 'selfie', 'like4likes', 'following', 'likeforfollow', 'f4f', 'followback', '부산미용실', '반여동미용실', '로이드밤', '맞팔', '선팔', '좋아요', '데일리', 'ootd', '소통', '인친', '좋아요반사', '뷰티', '커트', '부산', '팔로우', '동래', '반여동', '로이드밤반여', '셀스타그램', '비숑']",nyung2dang_21.png,189
nyung2dang,3115,3076,2021-05-19,19:21:28,1,0,"['followforfollowback', 'follow', 'likeforfollow', 'fff', 'daily', 'selfie', 'like4likes', 'following', 'likeforfollow', 'f4f', 'followback', '부산미용실', '반여동미용실', '로이드밤', '맞팔', '선팔', '좋아요', '데일리', 'ootd', '소통', '인친', '좋아요반사', '뷰티', '커트', '부산', '팔로우', '동래', '반여동', '로이드밤반여', '셀스타그램', '비숑']",nyung2dang_22.png,85
nyung2dang,3115,3076,2021-05-17,11:32:28,0,0,"['followforfollowback', 'follow', 'likeforfollow', 'fff', 'daily', 'selfie', 'like4likes', 'following', 'likeforfollow', 'f4f', 'followback', '부산미용실', '반여동미용실', '로이드밤', '맞팔', '선팔', '좋아요', '데일리', 'ootd', '소통', '인친', '좋아요반사', '뷰티', '커트', '부산', '팔로우', '동래', '반여동', '로이드밤반여', '셀스타그램', '비숑']",nyung2dang_24.png,91
jjung___q,386,184,2021-05-20,13:58:17,1,0,['27살'],jjung___q_6.png,108
jjung___q,386,184,2021-05-16,17:08:24,0,0,['올해첫캠핑'],jjung___q_9.png,76
hyun.baby.ch,590,250,2021-06-08,19:21:04,0,0,"['Repost', '베베코알라', '리그램', '그레이트북스타그램', '그레이트북스', '그북', '유아생활동화', '생활동화', '베베코알라', '그레이트북스신제품', '생활습관동화', '신제품', '이벤트', '인스타그램이벤트', '이벤트그램', '라이브방송', '라방이벤트', '라이브방송이벤트', '소문내기이벤트', '육아', '책육아', '맘스타그램', '도치맘', '육아맘', '유아', '그레이트북스베베코알라라방소문내기이벤트']",hyun.baby.ch_17.png,6
hyun.baby.ch,590,250,2021-06-08,19:17:12,0,2,"['베베코알라', '생활동화']",hyun.baby.ch_18.png,11
hyun.baby.ch,590,250,2021-06-07,22:06:40,0,0,"['Repost', '슈퍼드라이밴드', '기저귀', '나비잠기저귀', '기저귀는나비잠', '나비잠', '나비잠슈퍼드라이', '썸머기저귀', '여름기저귀', '육아템', '아기기저귀', '기저귀추천', '얇은기저귀추천', '슈퍼드라이밴드기저귀', '육아용품', '밴드기저귀', '밴드기저귀추천']",hyun.baby.ch_19.png,6
